Name,Points Per Game,Field Goal Percentage,Average 3-Point Field Goals Made,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game
Carmelo Anthony,15.3,42.6,1.4,84.3,6.3,1.6,0.8,0.5,1.7
Jordan Clarkson,15.1,46.5,2.1,84.1,2.7,2.0,0.7,0.2,1.3
Alec Burks,15.1,40.4,1.7,89.6,4.4,2.9,1.0,0.3,1.4
Will Barton,15.1,45.0,1.9,76.7,6.3,3.7,1.1,0.5,1.5
Rudy Gobert,15.1,69.8,0.0,62.1,13.7,1.5,0.8,2.0,1.9
JJ Redick,14.9,45.0,2.9,90.2,2.6,2.0,0.4,0.2,1.2
Jonas Valanciunas,14.9,58.6,0.5,73.2,11.2,1.8,0.4,1.1,1.7
Terrence Ross,14.8,40.7,2.6,84.5,3.2,1.2,1.1,0.3,1.0
Lauri Markkanen,14.7,42.5,2.2,82.4,6.3,1.5,0.8,0.5,1.6
Harrison Barnes,14.7,45.9,1.5,80.3,4.8,2.4,0.6,0.2,1.3
Bogdan Bogdanovic,14.5,43.3,2.6,72.4,3.2,3.2,1.0,0.3,1.7
Aaron Gordon,14.4,43.3,1.2,67.5,7.6,3.7,0.9,0.6,1.6
RJ Barrett,14.3,40.2,1.1,61.4,5.0,2.6,1.0,0.3,2.2
Eric Paschall,14.0,49.7,0.6,77.4,4.6,2.1,0.5,0.2,1.6
Joe Harris,13.9,47.1,2.4,74.7,4.3,2.1,0.6,0.3,1.5
Josh Richardson,13.8,42.9,1.5,78.9,3.4,3.1,0.9,0.7,1.9
Marcus Smart,13.5,38.0,2.4,83.5,3.8,4.8,1.6,0.5,1.7
Duncan Robinson,13.3,46.7,3.7,90.6,3.3,1.4,0.5,0.2,0.9
Coby White,13.2,39.4,2.0,79.1,3.5,2.7,0.8,0.1,1.7
Christian Wood,13.1,56.7,0.9,74.4,6.3,1.0,0.5,0.9,1.4
Ricky Rubio,13.1,41.2,1.2,85.3,4.6,8.9,1.5,0.2,2.7
Miles Bridges,13.0,42.4,1.5,80.9,5.6,1.8,0.6,0.7,1.5
Tyler Herro,12.9,41.4,2.1,83.5,4.0,1.9,0.6,0.1,1.5
Robert Covington,12.8,43.2,2.4,79.6,6.4,1.2,1.5,1.3,1.5
Damion Lee,12.7,41.7,1.7,87.3,4.9,2.7,1.0,0.1,1.4
Seth Curry,12.6,50.0,2.3,84.1,2.4,2.0,0.6,0.1,1.0
